peak_day,peak_price,valley_day,valley_price,drop_percent
2023-02-21 06:00:00,25014.833984375,2023-02-25 21:00:00,22916.07421875,0.08390060741302328
2023-03-01 08:00:00,23875.796875,2023-03-08 05:00:00,21988.64453125,0.07904039197644581
2023-03-08 15:00:00,22157.587890625,2023-03-10 10:00:00,19673.7265625,0.1120998070902806
2023-03-11 05:00:00,20792.525390625,2023-03-11 12:00:00,20069.201171875,0.03478770400233031
2023-03-14 16:00:00,25954.701171875,2023-03-15 16:00:00,24157.134765625,0.0692578348078951
2023-03-19 18:00:00,28338.22265625,2023-03-20 03:00:00,27350.666015625,0.034848926575400244
2023-03-22 16:00:00,28680.650390625,2023-03-28 10:00:00,26735.91015625,0.06780669921664984
2023-03-30 02:00:00,28989.052734375,2023-04-03 20:00:00,27610.015625,0.047570961425026086
2023-04-14 06:00:00,30962.3359375,2023-04-20 19:00:00,28124.3359375,0.09165975092217636
2023-04-21 03:00:00,28331.060546875,2023-04-24 16:00:00,27156.021484375,0.04147529389363471
2023-04-26 12:00:00,29995.837890625,2023-05-01 20:00:00,27680.79296875,0.07717887162600488
2023-05-06 00:00:00,29695.93359375,2023-05-12 06:00:00,26294.310546875,0.1145484460401315
2023-05-15 17:00:00,27512.625,2023-05-18 17:00:00,26469.55859375,0.03791228231584591
2023-05-23 05:00:00,27407.89453125,2023-05-25 01:00:00,26096.41796875,0.04785032141030306
2023-05-29 00:00:00,28231.98828125,2023-06-01 02:00:00,26721.234375,0.05351213280480683
2023-06-03 15:00:00,27309.61328125,2023-06-06 12:00:00,25513.59765625,0.0657649599979174
2023-06-06 23:00:00,27240.96875,2023-06-10 05:00:00,25520.455078125,0.0631590486984792
2023-06-13 11:00:00,26186.076171875,2023-06-15 08:00:00,24865.142578125,0.05044412095496541
2023-06-23 17:00:00,31256.056640625,2023-06-30 13:00:00,30002.42578125,0.04010841398801395
2023-07-06 08:00:00,31303.9140625,2023-07-06 23:00:00,29931.939453125,0.043827573977994465
2023-07-13 19:00:00,31663.47265625,2023-07-20 18:00:00,29687.333984375,0.062410674070044976
2023-07-23 18:00:00,30259.923828125,2023-07-24 17:00:00,29033.6171875,0.04052576759909795
2023-08-02 01:00:00,29855.099609375,2023-08-07 15:00:00,28820.361328125,0.03465867790724352
2023-08-09 12:00:00,30043.49609375,2023-08-16 05:00:00,29110.46875,0.03105588446958739
2023-08-16 07:00:00,29167.849609375,2023-08-22 21:00:00,25620.4296875,0.12162089318832761
2023-08-23 19:00:00,26639.783203125,2023-08-25 14:00:00,25831.134765625,0.030354918106283272
2023-08-29 18:00:00,27975.12890625,2023-09-01 17:00:00,25452.599609375,0.09017042621424472
2023-09-08 00:00:00,26391.982421875,2023-09-11 19:00:00,25001.41015625,0.0526891933844433
